#,ELO,Player,Clan,Streak,Percent,Games,Last game
146,"1,798",gramsci,worm,"'-2",51.95%,"3,307",5/10/2026
147,"1,797",TheKingTauro,ETriM,4,53.02%,"1,456",5/8/2026
148,"1,797",Fearing_8,"'-",2,73.12%,93,5/5/2026
149,"1,796",Moony,"'-","'-1",50.18%,"5,044",5/10/2026
150,"1,794",you.08.15,あうせれす,1,51.12%,"7,541",5/10/2026
151,"1,792",Euleb,"'-","'-1",54.55%,374,5/9/2026
152,"1,792",TestoBirne,SWEAT,1,51.14%,"2,931",5/10/2026
153,"1,791",引刀成一快,"'-","'-1",59.79%,388,5/6/2026
154,"1,789",Peladiño,SNBRO,2,52.82%,"2,783",5/8/2026
155,"1,789",中國共產武漢肺炎舙羴i,"'-",1,50.61%,"5,313",5/10/2026
156,"1,789",Vultus,ⲯOGSⲯ,9,67.40%,181,5/6/2026
157,"1,787",BrokenTowerRush,"'-","'-1",53.51%,527,5/3/2026
158,"1,784",GRANDE SEPOY GUY,RAZAS,4,50.24%,"7,173",5/9/2026
159,"1,783",miggo1999,yrmom,2,62.73%,703,5/1/2026
160,"1,783",swisherguts,UNСЅ,1,52.83%,"9,446",5/9/2026
161,"1,780",mimoreno,"'-","'-3",56.16%,"1,316",5/9/2026
162,"1,780",早上好先生,"'-","'-1",57.47%,"2,196",5/9/2026
163,"1,778",rekaizu,CIVTW,2,56.54%,"1,093",5/3/2026
164,"1,778",GuiliuG,"'-","'-1",50.83%,"4,704",5/9/2026
165,"1,776",ditan_aoe3,HoA50,5,74.39%,82,4/18/2026
166,"1,775",I,AOTDE,"'-2",51.37%,767,5/7/2026
167,"1,774",Anubis10,SpNz,2,51.32%,"1,970",5/10/2026
168,"1,772",二郎显圣真君,小星星,"'-2",53.35%,956,5/7/2026
169,"1,772",ぽ,"'-",2,53.82%,589,5/5/2026
170,"1,768",Breakfast_Time,LoSt,8,51.25%,"1,442",5/3/2026
171,"1,767",why so stinky?,"'-","'-2",84.85%,33,5/1/2026
172,"1,766",小蛆得志。,美丽新世界,2,55.93%,674,5/3/2026
173,"1,764",可不,"'-","'-1",51.18%,"1,827",5/10/2026
174,"1,764",Leo,KEKs,"'-1",51.28%,"3,682",5/9/2026
175,"1,761",chis,JACKD,"'-2",52.12%,"4,985",5/7/2026
176,"1,761",Socrates,"'-",4,61.58%,177,4/24/2026
177,"1,758",GymLover69,BRAKK,2,50.43%,"5,005",5/10/2026
178,"1,757",LoOk_tOm,SpNz,"'-1",50.95%,"4,493",5/9/2026
179,"1,757",Bear,"'-",1,51.56%,"1,538",5/9/2026
180,"1,756",Mao_dun,AOTDE,"'-1",50.57%,"5,839",5/3/2026
181,"1,754",BOYsGUBOY,БРУХ,"'-3",50.76%,"1,050",5/5/2026
182,"1,752",W<color=2/0/1>HORE<color=0/0/0>S,XILED,"'-1",55.25%,543,5/10/2026
183,"1,745",♰FlexyKoker♰,"'-","'-4",51.34%,"1,864",4/20/2026
184,"1,744",H1!RYUK1,HvNy,3,56.86%,401,4/14/2026
185,"1,742",msustar23,tex,2,50.83%,"5,243",5/9/2026
186,"1,742",老练大象,"'-",3,60.33%,242,4/30/2026
187,"1,741",霜打青松松更青,"'-",1,57.53%,186,5/1/2026
188,"1,740",kloro_,"'-",1,52.01%,"1,246",5/10/2026
189,"1,740",achilana,PFW,2,50.70%,"1,992",4/28/2026
190,"1,740",Grande Aquila,Tur4n,2,55.23%,679,4/26/2026
191,"1,738",Strat99,"'-",1,50.23%,"2,795",5/10/2026
192,"1,737",akupi,"'-","'-2",72.88%,59,4/23/2026
193,"1,737",Harrison_Aoe,"'-",4,50.50%,"3,396",4/26/2026
194,"1,737",地狱柚子,小星星,"'-10",57.86%,280,5/6/2026
195,"1,736",idc,HDG,1,50.94%,"4,407",5/9/2026
196,"1,735",Liyuuuuu,AOTDE,"'-3",55.56%,351,5/1/2026
197,"1,735",vicsauriorex,"'-","'-1",50.44%,"5,216",5/10/2026
198,"1,734",<color=1/0.5/0>同福,猪大肠,"'-2",54.03%,794,5/3/2026
199,"1,734",basalt,SolR,"'-1",54.97%,553,5/8/2026
200,"1,733",タイラズマ好き！！！,STGAL,1,76.47%,51,4/27/2026
201,"1,733",Tokyo,"'-",1,63.30%,109,5/4/2026
202,"1,732",Lion heart mom's enjoyer,UNIBR,"'-5",50.74%,"3,906",5/4/2026
203,"1,731",unknown,"'-",1,50.44%,"2,516",5/10/2026
204,"1,731",pokemon,BrBul,1,53.48%,531,5/9/2026
205,"1,730",madio,平沙落雁,3,52.44%,"1,741",5/9/2026
206,"1,729",Dexter Morgan,"'-","'-1",52.14%,"1,285",5/9/2026
207,"1,728",黄金树立誓,"'-",2,61.26%,111,5/10/2026
208,"1,727",Paul el magnanimo,ELKO,"'-3",56.55%,840,4/29/2026
209,"1,727",Sirragenh,"'-","'-4",50.40%,"3,643",5/10/2026
210,"1,725",Hazza's stepsister is hot,"'-","'-3",53.19%,502,5/3/2026
211,"1,725",8 ashi raid,JAPAN,"'-1",51.32%,"1,366",5/10/2026
212,"1,725",[APEMP] CS Kreisliga Absteiger,SIIUU,1,53.77%,982,5/3/2026
213,"1,725",PHISH,tex,"'-2",50.85%,"1,054",5/7/2026
214,"1,723",HARDERIRON,"'-",3,58.77%,228,4/27/2026
215,"1,720",cloud,"'-",5,51.65%,"1,030",5/9/2026
216,"1,717",Lerwa,LAMIN,3,52.02%,917,5/9/2026
217,"1,716",cuirassier33,"'-","'-4",51.45%,"3,026",4/22/2026
218,"1,716",tinfa,UNСЅ,"'-3",52.14%,"1,542",5/2/2026
219,"1,714",gay gay gay,"'-","'-2",57.61%,335,5/1/2026
220,"1,713",Sonnet,Nebbz,3,65.26%,95,5/3/2026
221,"1,712",andrewgs,あうせれす,2,49.85%,"15,974",5/10/2026
222,"1,710",多情剑客无情剑,"'-",8,51.01%,"2,419",5/9/2026
223,"1,709",zvezda,CCIS,5,60.43%,187,5/9/2026
224,"1,707",Borymling,"'-","'-2",51.07%,"2,003",5/9/2026
225,"1,706",manwithoutname,"'-","'-3",49.88%,"5,790",5/8/2026
226,"1,705",&from,"'-",3,61.27%,142,4/14/2026
227,"1,704",Patrick,"'-",6,53.09%,"1,345",5/9/2026
228,"1,703",464227950,"'-","'-1",49.90%,"8,403",5/9/2026
229,"1,703",kelloggs4827,"'-",2,75.51%,49,5/2/2026
230,"1,702",Lynn,"'-",2,69.35%,62,4/24/2026
231,"1,702",bellbook,"'-",3,50.83%,"5,021",4/23/2026
232,"1,702",gopalbhardwaj,HoA50,4,50.80%,"5,713",5/10/2026
233,"1,702",cobi183,"'-",2,51.16%,"5,174",5/9/2026
234,"1,701",Lukasimperialist,БРУХ,"'-1",50.39%,"1,546",5/10/2026
