#,ELO,Player,Clan,Streak,Percent,Games,Last game
"2,098","1,078",La Republica,"'-","'-2",51.85%,108,4/19/2026
"2,099","1,078",neothedog2022,"'-",3,57.69%,26,5/1/2026
"2,100","1,078",blackpie9000,"'-",2,52.99%,117,5/4/2026
"2,101","1,078",Undertaker,"'-","'-1",50.53%,760,5/8/2026
"2,102","1,078",Eidechsli_04,ETHZ,1,55.77%,52,5/10/2026
"2,103","1,078",ACE,DeJuz,1,49.11%,338,5/4/2026
"2,104","1,078",Klrp,BrAoe,"'-1",50.33%,306,4/25/2026
"2,105","1,078",Lord Worm,"'-","'-4",50.60%,917,5/9/2026
"2,106","1,078",♥ La Basherie Jeannot ♥,"'-","'-3",50.75%,"1,129",5/4/2026
"2,107","1,077",pingu,Bonus,"'-1",54.84%,31,4/24/2026
"2,108","1,077",HideTheVilly,"'-",2,56.52%,23,5/10/2026
"2,109","1,077",Rei do Gado,"'-",1,50.24%,"1,045",5/10/2026
"2,110","1,077",Choryzarate,SAZ,"'-1",50.24%,838,5/6/2026
"2,111","1,077",SpiceyNugget647,"'-","'-1",50.18%,841,5/9/2026
"2,112","1,076",Teletubbies,"'-",2,56.52%,23,5/10/2026
"2,113","1,076",USSR,MDGGP,"'-2",51.87%,374,5/9/2026
"2,114","1,076",SaculGG,"'-","'-1",49.77%,219,5/8/2026
"2,115","1,076",puffyfish,"'-",2,58.18%,55,5/7/2026
"2,116","1,076",É o iguinhoooo,"'-",1,55.41%,74,4/26/2026
"2,117","1,076",김민지,GPL,"'-3",52.38%,147,4/19/2026
"2,118","1,076",warrior,AYROS,1,62.86%,35,5/6/2026
"2,119","1,075",EnjoyYourDeath,"'-","'-1",50.15%,"1,635",5/6/2026
"2,120","1,075",roosterEV,LANDT,1,50.29%,"2,764",5/9/2026
"2,121","1,075",Okotoriko,Eles,"'-3",54.00%,50,5/7/2026
"2,122","1,075",MadeGem4279,AoWr,1,60.00%,10,4/17/2026
"2,123","1,075",Krabby_Pattyy,"'-","'-4",49.84%,"3,198",5/9/2026
"2,124","1,075",Denis B. Bolas,"'-","'-1",51.02%,294,4/21/2026
"2,125","1,075",bczxn2002,"'-",7,49.73%,"2,013",5/2/2026
"2,126","1,075",$PQR,NROMA,2,50.79%,126,5/9/2026
"2,127","1,074",Pittiplatsch,"'-","'-1",49.51%,309,4/27/2026
"2,128","1,074",a2402904425,"'-","'-1",53.33%,90,5/8/2026
"2,129","1,074",Father of mokers,"'-","'-1",52.63%,57,5/10/2026
"2,130","1,074",Ricki Ricon2327,SPRQ,"'-1",51.85%,459,4/30/2026
"2,131","1,074",andreses060298,"'-",2,52.50%,80,5/10/2026
"2,132","1,074",entka2090,"'-",1,52.75%,182,5/1/2026
"2,133","1,074",Doppens,FRX,"'-2",52.63%,171,4/18/2026
"2,134","1,074",jkazimzade1,"'-","'-9",51.30%,733,5/2/2026
"2,135","1,074",SuperSenf,"'-","'-2",50.98%,306,5/10/2026
"2,136","1,074",R_means_Respect™,INDIA,"'-1",50.13%,"4,223",5/10/2026
"2,137","1,073",Borin,"'-","'-3",51.09%,229,5/10/2026
"2,138","1,073",Alex_Thom,"'-","'-2",50.00%,22,4/20/2026
"2,139","1,073",joseleocadioneto,"'-",2,50.36%,"2,611",5/10/2026
"2,140","1,073",<V> | Heinrich♛,BSPH,3,55.88%,34,4/20/2026
"2,141","1,073",Pimodius,"'-","'-1",54.84%,62,4/21/2026
"2,142","1,073",blueoranges,"'-","'-1",50.27%,740,4/15/2026
"2,143","1,073",leofellmann6,"'-","'-1",51.05%,427,5/10/2026
"2,144","1,073",Marquis de Montcalm,"'-","'-2",50.17%,899,5/10/2026
"2,145","1,073",SnnikerDoodle,"'-",2,53.33%,15,4/17/2026
"2,146","1,073",Ballnut45,Teab,1,50.94%,53,5/9/2026
"2,147","1,073",Henry_Knox,SNBRO,1,50.15%,"6,038",5/10/2026
"2,148","1,072",Demiryürekliadam,BZKRT,1,50.90%,446,5/10/2026
"2,149","1,072",Hanamichi10,"'-",2,60.00%,10,5/8/2026
"2,150","1,072",Yuder,EXHIL,"'-1",53.33%,45,4/21/2026
"2,151","1,072",反手一个大比都,"'-",3,50.19%,805,5/9/2026
"2,152","1,072",Quim PCP,"'-",1,49.06%,53,5/2/2026
"2,153","1,072",[✠EJE✠] Herr Rodri Andrade,ESP,1,50.51%,588,4/25/2026
"2,154","1,072",osman58uzun,"'-",1,52.76%,163,5/8/2026
"2,155","1,071",Riisgaard,"'-","'-1",57.14%,14,4/19/2026
"2,156","1,071",Perchjerker,"'-",1,53.19%,47,4/12/2026
"2,157","1,071",medtium,"'-",5,55.38%,65,5/10/2026
"2,158","1,071",madmax94,"'-",3,50.46%,868,5/10/2026
"2,159","1,071",Juanva12x,R3VOS,2,60.49%,81,5/3/2026
"2,160","1,071",OuterFire,"'-",1,51.02%,782,4/26/2026
"2,161","1,071",Draensei,"'-","'-2",52.54%,118,4/18/2026
"2,162","1,071",AlexisTrois,RøyaL,"'-5",50.00%,418,5/1/2026
"2,163","1,071",Last but not least,"'-","'-1",50.00%,"1,184",5/10/2026
"2,164","1,071",Zan Lightwood,Garde,"'-1",50.38%,"1,050",4/30/2026
"2,165","1,071",JohnyBravo,"'-",1,52.31%,65,5/1/2026
"2,166","1,070",Bangmaster Jones,EST,"'-2",50.09%,"2,805",5/7/2026
"2,167","1,070",Shadow,Cajon,"'-3",50.23%,442,4/20/2026
"2,168","1,070",Beaver,"'-","'-1",50.37%,677,4/30/2026
"2,169","1,070",Golfist,"'-",3,57.14%,14,5/8/2026
"2,170","1,070",Strateburgum,"'-","'-2",44.19%,43,4/21/2026
"2,171","1,070",Marsel,"'-","'-2",51.00%,200,5/10/2026
"2,172","1,069",Del Toro,"'-",2,55.00%,40,5/10/2026
"2,173","1,069",sebcio656,"'-","'-1",52.14%,280,5/2/2026
"2,174","1,069",新型人机1号（AI),"'-",1,57.14%,21,5/3/2026
"2,175","1,069",Saimen_U,NUDLL,"'-1",55.21%,96,4/15/2026
"2,176","1,069",ElDelicioso,"'-",3,53.03%,132,5/5/2026
"2,177","1,069",Sakoon,"'-",3,56.52%,23,5/7/2026
"2,178","1,069",星梦2026,"'-",5,50.31%,"1,469",5/10/2026
"2,179","1,069",andres.2593,"'-",4,50.26%,"1,134",5/6/2026
"2,180","1,068",权王称霸,K300,2,53.41%,176,4/27/2026
"2,181","1,068",69坐台员,全民SM,3,50.77%,65,4/22/2026
"2,182","1,068",Juanse,"'-",1,51.92%,208,5/7/2026
"2,183","1,067",CaperBR,AKDMx,"'-2",50.75%,266,5/7/2026
"2,184","1,067",saintmike2323,"'-",1,50.60%,415,5/6/2026
"2,185","1,067",BenTheGreat,DESP,2,51.72%,437,5/9/2026
"2,186","1,067",Shem,"'-",2,50.85%,293,5/9/2026
"2,187","1,066",бурмалзаяц,"'-",1,50.39%,129,4/17/2026
"2,188","1,066",ShrimpShack,PLAYR,2,50.15%,"2,997",5/10/2026
"2,189","1,066",NeteroSan92,ACQUA,1,50.42%,"1,202",5/8/2026
"2,190","1,066",ghoshabhra1993,"'-",1,49.36%,233,5/10/2026
"2,191","1,065",sofa water,"'-","'-2",49.59%,"1,591",5/3/2026
"2,192","1,065",General Bigbear,"'-",3,58.82%,17,5/2/2026
"2,193","1,065",skydeck87,"'-","'-5",52.38%,21,4/23/2026
"2,194","1,065",✪ DIABLO,SPRQ,3,51.79%,112,4/17/2026
"2,195","1,065",多人运动,"'-",2,60.00%,10,5/1/2026
"2,196","1,065",Peixe Porco,ANGRA,"'-1",52.63%,76,4/24/2026
"2,197","1,065",Tennessine,"'-","'-1",50.44%,569,5/9/2026
"2,198","1,065",vinyc.lp,"'-","'-1",50.03%,"1,963",5/10/2026
"2,199","1,065",So Sad,"'-",2,50.98%,102,5/3/2026
"2,200","1,064",Disturbed,ARGT,"'-1",51.87%,214,4/14/2026
"2,201","1,064",hernanben99,"'-",2,52.19%,274,5/9/2026
"2,202","1,064",1023902327,"'-","'-1",50.60%,415,5/3/2026
"2,203","1,064",hikayeci,"'-","'-1",54.55%,22,4/22/2026
"2,204","1,064",MuskPuss_Enjoyer,"'-",3,50.46%,765,5/10/2026
"2,205","1,063",mikedelaustralie,"'-","'-2",49.71%,698,5/10/2026
"2,206","1,063",urbain.alexandre98,"'-","'-1",50.80%,563,5/10/2026
"2,207","1,063",JJXiuhcoatl,LTPD,1,51.48%,406,4/17/2026
"2,208","1,063",Prince of Bel-Air,"'-",2,50.78%,384,4/19/2026
"2,209","1,063",TyJesus4wiiU,"'-","'-2",50.11%,"1,405",5/6/2026
"2,210","1,063",CrisGris,"'-",4,50.44%,569,5/10/2026
"2,211","1,063",en_pelotas,"'-",2,50.22%,"1,340",5/5/2026
"2,212","1,063",szaroslapát,dmgD,"'-1",60.00%,30,5/8/2026
"2,213","1,063",War Lord,PLOP,1,50.06%,"1,656",5/9/2026
"2,214","1,062",Al Capone,"'-","'-4",50.00%,24,5/9/2026
"2,215","1,062",xXLaptopGamerXx,"'-","'-1",55.88%,34,5/9/2026
"2,216","1,061",Kromerz,"'-",5,53.06%,98,5/9/2026
"2,217","1,061",dodododocur,"'-",2,53.91%,128,5/10/2026
"2,218","1,061",marcosvsantana8,CRPS,"'-6",50.35%,570,4/24/2026
"2,219","1,061",Darei,"'-","'-1",60.27%,73,5/8/2026
"2,220","1,061",Tamerlame,"'-",3,51.19%,293,5/9/2026
"2,221","1,061",DottedNoodle,LuFam,1,50.27%,"5,630",5/8/2026
"2,222","1,061",Luca Tognol,Leão,2,50.75%,"1,273",5/10/2026
"2,223","1,060",Clippy,"'-",2,57.69%,26,5/1/2026
"2,224","1,060",minimini2357,이순신해,"'-1",57.14%,14,5/8/2026
"2,225","1,060",Dreva Sleep,"'-","'-1",61.54%,52,4/25/2026
"2,226","1,060",Ancalagon,"'-","'-3",49.53%,212,4/16/2026
"2,227","1,060",Dartsaider,"'-",1,50.22%,"10,775",5/9/2026
"2,228","1,060",SB_Felix,"'-","'-1",49.15%,59,5/1/2026
"2,229","1,060",ふっしぃ,"'-",1,48.75%,160,5/9/2026
"2,230","1,059",Tyler Durden,"'-","'-5",49.88%,"1,231",5/6/2026
"2,231","1,059",vCxlbz,vcx,"'-3",51.61%,124,5/1/2026
"2,232","1,059",huynhnguyentuannhan,AEVN,"'-1",50.24%,412,5/4/2026
"2,233","1,059",Michaaaaa,"'-","'-2",52.38%,21,4/28/2026
"2,234","1,058",lugixd,Bayer,2,50.26%,571,5/10/2026
"2,235","1,058",yuraslav,"'-",2,54.55%,11,4/28/2026
"2,236","1,058",ben10,"'-","'-2",53.25%,400,5/6/2026
"2,237","1,058",cyrilcampedel,"'-",1,53.03%,132,5/10/2026
"2,238","1,058",LucasCambuzano,Ｍｏｏｏ0,2,61.54%,13,4/26/2026
"2,239","1,057",Poperc,"'-",4,50.61%,"2,440",5/3/2026
"2,240","1,057",b3n3c,"'-",1,49.30%,71,5/1/2026
"2,241","1,057",Azzar al Eayst,"'-","'-1",50.22%,675,5/10/2026
"2,242","1,056",Aliaddin,"'-",2,50.18%,570,5/10/2026
"2,243","1,056","'- N4hu3L -",TremC,"'-2",55.81%,43,5/10/2026
"2,244","1,056",NE,"'-","'-2",54.39%,114,4/17/2026
"2,245","1,056",Schneider,"'-",1,50.13%,"1,560",5/10/2026
"2,246","1,055",Dierna,Tkias,"'-2",51.79%,56,5/10/2026
"2,247","1,055",Amiel Sovietico ツ,"'-",1,50.84%,478,5/9/2026
"2,248","1,055",Skevin1313,"'-","'-1",51.00%,300,4/30/2026
"2,249","1,055",吴三,"'-",2,50.27%,937,5/10/2026
"2,250","1,055",Mecixo Sampai Mati,LP3I,"'-2",52.17%,46,5/4/2026
"2,251","1,054",TheGodMySelf,HDNS,"'-1",56.10%,41,4/20/2026
"2,252","1,054",Topo9267,"'-",1,56.72%,67,4/20/2026
"2,253","1,054",Power Ranger Rosado,SMTIM,1,50.62%,885,5/10/2026
"2,254","1,053",azhim13,INDO,3,49.86%,349,4/26/2026
"2,255","1,053",RiverChamp™,"'-",8,61.11%,18,4/15/2026
"2,256","1,053",johngiannop,Greco,"'-2",50.61%,"1,630",4/15/2026
"2,257","1,053",santanaraphael,"'-",2,50.63%,320,4/21/2026
"2,258","1,053",LTSolidSnake,"'-","'-4",51.40%,321,5/10/2026
"2,259","1,053",Amazingly,"'-",1,53.57%,56,4/13/2026
"2,260","1,053",TRNKTTC,"'-","'-5",50.47%,430,5/3/2026
"2,261","1,053",jim-pao,"'-",1,49.82%,273,5/10/2026
"2,262","1,053",hitaandrun,TremC,1,49.85%,"1,019",4/14/2026
"2,263","1,053",Glouglou,"'-","'-1",50.34%,"2,203",4/26/2026
"2,264","1,052",MateIn8,"'-",2,50.42%,942,5/8/2026
"2,265","1,052",renedinho,"'-","'-1",50.35%,"1,569",5/3/2026
"2,266","1,052",老师傅,"'-","'-3",52.00%,50,5/3/2026
"2,267","1,052",十三,屠龙者,"'-2",52.26%,199,5/9/2026
"2,268","1,052",3356345424,"'-",5,50.22%,908,5/4/2026
"2,269","1,052",Madison1776,"'-","'-1",50.00%,268,4/30/2026
"2,270","1,052",Jonny nitro1928,"'-","'-1",51.50%,167,5/3/2026
"2,271","1,052",Dr. Maquiavélico,"'-",5,50.26%,189,5/9/2026
"2,272","1,052",WW_III_ANGRY,"'-","'-1",54.55%,22,5/8/2026
"2,273","1,052",tervk,"'-",1,50.80%,685,5/1/2026
"2,274","1,052",Gandalf,"'-","'-3",45.16%,31,5/8/2026
"2,275","1,052",jonnythunder,"'-","'-2",51.33%,487,4/18/2026
"2,276","1,052",Jir Mirza,"'-",2,48.94%,47,4/13/2026
"2,277","1,051",trl1,"'-","'-3",50.71%,211,5/7/2026
"2,278","1,051",ENGLISH ELITE,"'-","'-3",51.90%,79,4/22/2026
"2,279","1,051",phantom-prince,H6BIT,4,55.00%,40,5/10/2026
"2,280","1,051",Sheriff,ANGOL,2,50.42%,942,4/22/2026
"2,281","1,051",thiagovsck,"'-",1,50.99%,202,5/9/2026
"2,282","1,050",pspeer84,"'-",2,50.00%,"2,530",5/9/2026
"2,283","1,050",ChungMyung,"'-",3,51.14%,88,4/27/2026
"2,284","1,050",panzerfaust1471,"'-","'-1",52.99%,117,5/2/2026
"2,285","1,050",awesomeplayer,"'-",3,56.25%,16,5/3/2026
"2,286","1,050",Roh Tae-woo,"'-","'-4",50.00%,386,5/6/2026
"2,287","1,050",Rice_Balls1,Clap,"'-1",54.55%,22,4/14/2026
"2,288","1,049",4fsio,"'-",1,50.00%,62,4/15/2026
"2,289","1,049",NIghtshadeJR,"'-",5,61.54%,13,4/21/2026
"2,290","1,049",Zetyuci,"'-","'-2",52.38%,21,5/5/2026
"2,291","1,048",Santiklan,"'-","'-1",55.06%,89,5/10/2026
"2,292","1,048",rb4363,ESOC,"'-2",50.94%,534,5/10/2026
"2,293","1,048",Gustaff_25,"'-",1,51.91%,183,5/3/2026
"2,294","1,048",ogstarwars2024,TDY,"'-3",48.39%,93,5/8/2026
"2,295","1,048",根本·大,"'-",6,52.00%,50,4/18/2026
"2,296","1,048",一根美味的小米兰,老近卫军,"'-3",54.84%,31,5/4/2026
"2,297","1,048",Riba,"'-",1,50.23%,"3,056",5/10/2026
"2,298","1,048",Phoenix,"'-",2,50.15%,"1,958",5/9/2026
"2,299","1,048",Hellsing,"'-",3,50.58%,257,5/9/2026
"2,300","1,048",Batman,"'-",1,52.09%,263,5/10/2026
"2,301","1,048",Posh,"'-",1,52.14%,140,5/4/2026
"2,302","1,048",hasensiggi,"'-","'-3",50.33%,"5,239",5/10/2026
"2,303","1,047",alberlevi35,"'-","'-2",51.35%,555,5/10/2026
"2,304","1,047",Artyom,"'-",2,49.16%,238,5/5/2026
"2,305","1,047",Francis,"'-","'-2",50.83%,726,5/8/2026
"2,306","1,047",yueta,"'-",11,49.76%,"2,753",5/9/2026
"2,307","1,047",CEO OF $WAG,"'-","'-2",50.56%,358,5/10/2026
"2,308","1,047",CJ-cousin,"'-",2,57.50%,40,5/7/2026
"2,309","1,047",Samibwedge,Loki,2,50.12%,"2,037",5/5/2026
"2,310","1,046",Papa Norris,"'-","'-1",57.14%,35,5/10/2026
"2,311","1,046",pokeice456,"'-",2,53.13%,64,5/1/2026
"2,312","1,046",мамочка,Swaga,"'-6",51.57%,287,4/29/2026
"2,313","1,046",玄,"'-",1,52.63%,190,4/25/2026
"2,314","1,045",The Anker.exe,"'-","'-1",54.05%,148,5/10/2026
"2,315","1,045",Excel,"'-","'-1",50.28%,529,5/10/2026
"2,316","1,045",Marauder,"'-",2,50.56%,718,4/16/2026
"2,317","1,045",bradgasol,"'-",1,49.36%,235,4/26/2026
"2,318","1,045",Keni Bell,BOTE1,"'-5",50.09%,561,4/14/2026
"2,319","1,045",TioMiji,"'-","'-3",51.28%,39,4/27/2026
"2,320","1,044",penntapennpenn,JAPAN,4,50.92%,218,4/27/2026
"2,321","1,044",AdrianRevolution,"'-",5,50.56%,888,5/10/2026
"2,322","1,044",Zan,"'-",1,50.00%,136,5/10/2026
"2,323","1,044",sbreck515,"'-","'-1",53.85%,91,5/10/2026
"2,324","1,043",Quetzal2107,"'-","'-2",49.82%,558,5/8/2026
"2,325","1,043",$noop#4,"'-",1,57.69%,26,5/10/2026
"2,326","1,043",naptownnelly,"'-","'-1",53.39%,236,4/25/2026
"2,327","1,043",Mankurt,"'-",6,51.31%,191,5/8/2026
"2,328","1,043",willithappen,"'-",2,52.94%,17,4/25/2026
"2,329","1,043",tavuskus,"'-",1,52.85%,193,5/4/2026
"2,330","1,043",wikenn01,"'-","'-1",52.38%,63,4/27/2026
"2,331","1,042",Magabo,P4NNI,"'-2",50.00%,108,5/7/2026
"2,332","1,042",KiloanEmpress,"'-","'-2",51.35%,37,4/16/2026
"2,333","1,042",D<color=0/0/1> 1 0,"'-","'-2",45.95%,37,5/9/2026
"2,334","1,042",Leg_Vermithor¨,TremC,1,52.59%,232,5/5/2026
"2,335","1,042",Roughymentor,"'-",2,50.78%,384,5/9/2026
"2,336","1,042",Shagopoto,"'-",1,49.61%,256,5/2/2026
"2,337","1,042",mallkalai,"'-",1,50.57%,530,5/5/2026
"2,338","1,042",Sleeping-Bear,"'-",4,50.46%,757,4/22/2026
"2,339","1,041",Ehjax,"'-","'-1",53.19%,47,5/9/2026
"2,340","1,041",mimihohooho,"'-",4,58.82%,17,4/30/2026
"2,341","1,041",jimjams,"'-","'-2",50.10%,"1,014",5/10/2026
"2,342","1,041",Dan le Dur,Josha,"'-1",47.37%,38,5/1/2026
"2,343","1,041",mister sr,"'-","'-1",52.94%,17,4/20/2026
"2,344","1,041",theracoonwiththespoon,"'-","'-1",49.15%,177,5/10/2026
"2,345","1,041",kicks_man2,Śɦřĕƙ,1,50.17%,295,5/2/2026
"2,346","1,041",holzfella,"'-","'-4",50.54%,552,4/19/2026
"2,347","1,041",enfrose69,KKC84,1,50.40%,"1,246",5/4/2026
"2,348","1,041",Brunaldinho,"'-",1,50.63%,638,5/9/2026
"2,349","1,040",婧楠,輕鬆一下,"'-1",54.74%,137,4/25/2026
"2,350","1,040",Beerts,ABABR,"'-2",51.26%,119,4/21/2026
"2,351","1,040",Bonus,Bayer,2,52.08%,48,5/10/2026
"2,352","1,040",ℍ𝔼𝕊𝕆𝕐𝔸𝕄,"'-",1,50.11%,"1,353",5/10/2026
"2,353","1,039",SpinalTuna7,Mooh,1,50.10%,491,5/8/2026
"2,354","1,039",JJlevel,"'-","'-1",53.57%,56,5/7/2026
"2,355","1,039",lmariogh12,"'-",1,60.00%,10,5/4/2026
"2,356","1,039",luisalbet2,"'-","'-1",51.09%,276,5/8/2026
"2,357","1,039",sjbragg84,frefo,"'-4",50.92%,381,5/7/2026
"2,358","1,039",byotaku97,"'-",3,50.54%,463,5/10/2026
"2,359","1,039",Gregg,UNIBR,"'-5",44.44%,36,5/8/2026
"2,360","1,039",Sultan_Enis,"'-",1,49.93%,"1,350",5/2/2026
"2,361","1,038",Kr0p1m4K,"'-","'-3",48.00%,25,5/7/2026
"2,362","1,038",Patea Q-los,SpNz,1,50.48%,525,5/3/2026
"2,363","1,038",ISAAC,358铁骑,"'-4",54.17%,24,4/19/2026
"2,364","1,038",Blackthorne,MYYS,1,52.30%,174,5/7/2026
"2,365","1,037",СИЛА АФРО,"'-","'-1",53.85%,13,4/15/2026
"2,366","1,037",Medicine_man,"'-",1,50.08%,"1,262",5/10/2026
"2,367","1,037",goldfish,"'-","'-2",52.86%,70,5/4/2026
"2,368","1,037",El Niño Tinto,R3VOS,"'-2",50.49%,719,4/20/2026
"2,369","1,036",Fodjé,"'-",3,58.33%,12,5/2/2026
"2,370","1,036",Death by snu snu,"'-","'-2",47.83%,23,4/16/2026
"2,371","1,036",Ramboia,"'-",2,54.55%,55,5/5/2026
"2,372","1,036",Zebá,"'-","'-3",50.90%,558,4/30/2026
"2,373","1,036",gdawglovett,BrAoe,"'-2",50.40%,125,5/1/2026
"2,374","1,036",ftalero,"'-","'-4",50.69%,507,4/19/2026
"2,375","1,035",Crazy Horse,"'-",2,54.79%,73,4/13/2026
"2,376","1,035",TRAMM,"'-",1,55.32%,47,5/8/2026
"2,377","1,035",m0Ka^1337,ARBiH,"'-1",51.12%,313,5/8/2026
"2,378","1,035",Lapiton96,"'-","'-1",50.78%,384,5/10/2026
"2,379","1,035",Iceman,MFalc,"'-2",49.94%,"2,407",5/7/2026
"2,380","1,035",rodolfou2,"'-",5,50.00%,306,5/9/2026
"2,381","1,035",TrustiestPoem64,"'-",2,49.69%,"3,987",5/1/2026
"2,382","1,034",Kenido1,"'-","'-1",47.06%,34,5/9/2026
"2,383","1,034",pepemuzquiz,FIGs,1,49.92%,629,4/13/2026
"2,384","1,034",NEF,kuhak,"'-1",50.18%,"1,142",5/9/2026
"2,385","1,034",quinch_m,Bbcit,1,50.19%,534,5/1/2026
"2,386","1,034",NuTellaCookiEMonsteR,"'-",1,50.95%,210,4/28/2026
"2,387","1,034",Guevorik31,"'-",1,50.29%,511,5/10/2026
"2,388","1,034",Lt. Albin Hugentobler,"'-",3,49.19%,124,4/26/2026
"2,389","1,034",greyface,"'-","'-1",51.72%,29,5/5/2026
"2,390","1,033",Charoisaur,"'-",1,50.00%,110,5/6/2026
"2,391","1,033",Smile,Eles,1,50.32%,157,5/7/2026
"2,392","1,033",Vi_REY,"'-",1,52.14%,468,5/9/2026
"2,393","1,033",s4ndro5198,"'-","'-2",52.94%,17,4/20/2026
"2,394","1,033",满月居于空,"'-","'-2",51.35%,37,4/16/2026
"2,395","1,033",<color=1/0/0>Hexor,"'-","'-1",53.98%,113,4/15/2026
"2,396","1,033",Kynikos,"'-","'-4",49.66%,"1,895",4/19/2026
"2,397","1,033",ERROR 404,ANGLR,2,50.10%,"4,192",5/9/2026
"2,398","1,032",Fabio,"'-","'-1",54.41%,68,5/10/2026
"2,399","1,032",levi_rose_26,"'-","'-2",50.04%,"2,320",5/10/2026
"2,400","1,032",LaCarrione,Albn,2,50.00%,12,5/10/2026
"2,401","1,032",COLMorat,SPRIM,4,50.96%,208,4/30/2026
"2,402","1,032",lemonfox,"'-",1,56.00%,50,4/14/2026
"2,403","1,031",gerufu,MgAo3,"'-2",50.17%,"3,014",5/10/2026
"2,404","1,031",juliien-71,"'-",1,53.33%,195,5/10/2026
"2,405","1,031",Rwinizzz,AYROS,2,48.61%,72,4/30/2026
"2,406","1,031",ᴾᵃʳᵃˡʸᶻᵉᵈ Murderesta,"'-",2,51.02%,537,4/14/2026
"2,407","1,031",Heisenberg,"'-","'-1",53.57%,84,5/6/2026
"2,408","1,031",HammySammy,"'-","'-2",53.85%,91,4/26/2026
"2,409","1,030",Torino,RatCO,1,52.94%,136,5/10/2026
"2,410","1,030",El Duce v1,ELCP,1,52.63%,57,5/10/2026
"2,411","1,030",394926428,"'-",3,54.55%,33,4/22/2026
"2,412","1,030",..,"'-",2,50.55%,366,5/3/2026
"2,413","1,030",YeniCookie,AVEON,2,51.85%,432,4/17/2026
"2,414","1,030",小皮燕子,STOMP,"'-2",51.35%,185,4/29/2026
"2,415","1,029",Rahaha168@,"'-",1,50.00%,102,5/10/2026
"2,416","1,029",Paxyst,"'-","'-1",53.33%,15,4/14/2026
"2,417","1,029",Makise Kurisu,"'-",1,50.37%,270,4/23/2026
"2,418","1,029",bortoncelloo2,"'-","'-2",50.81%,"1,240",5/10/2026
"2,419","1,029",X1k0,"'-","'-2",50.00%,16,5/10/2026
"2,420","1,029",zixuanqiu9211,"'-","'-2",49.50%,"1,004",5/3/2026
"2,421","1,029",A Disease,INVU,"'-7",50.41%,611,4/25/2026
"2,422","1,029",Craig,"'-","'-3",50.15%,"1,298",5/9/2026
"2,423","1,029",JEEP,TWSS,2,52.06%,194,4/28/2026
"2,424","1,029",Sechste Senn,"'-","'-1",50.21%,"1,697",4/29/2026
"2,425","1,029",DTABQ2,"'-","'-1",50.60%,334,5/4/2026
"2,426","1,029",Oscar La Bagarre,"'-",1,51.05%,143,5/5/2026
"2,427","1,029",Fendoir,"'-",5,50.51%,198,4/21/2026
"2,428","1,029",plarki12001,"'-",1,49.92%,"1,190",5/10/2026
"2,429","1,028",pops,"'-",5,57.14%,21,4/25/2026
"2,430","1,028",hundiost,"'-","'-3",51.14%,88,4/28/2026
"2,431","1,028",M_Skittles,Swat4,1,52.63%,95,5/10/2026
"2,432","1,028",Scorpion,"'-","'-3",56.44%,101,4/17/2026
"2,433","1,028",tim.g,"'-","'-1",49.87%,385,5/4/2026
"2,434","1,028",nokia3210,"'-",1,51.88%,133,5/7/2026
"2,435","1,027",a beautiful smile,"'-",2,50.66%,531,5/6/2026
"2,436","1,027",Shackzero (debilicios),"'-",4,52.17%,46,5/10/2026
"2,437","1,027",bushidobrown577,"'-",2,49.89%,878,5/10/2026
"2,438","1,027",Markart,"'-","'-4",52.46%,244,4/29/2026
"2,439","1,027",麦克阿皓,"'-","'-2",50.22%,456,5/3/2026
"2,440","1,027",Haydar_M9,"'-","'-2",50.00%,24,4/28/2026
"2,441","1,027",屠农勇士,"'-","'-2",51.77%,226,5/3/2026
"2,442","1,027",_Krontik_,"'-",1,54.17%,24,5/10/2026
"2,443","1,027",Sven,"'-","'-2",50.11%,443,4/30/2026
"2,444","1,027",Akira Toriyama,"'-","'-1",50.54%,"1,581",5/10/2026
"2,445","1,027",Matador de Toros,"'-","'-1",50.23%,"1,738",4/23/2026
"2,446","1,027",ftballplyer99,"'-","'-4",49.23%,390,5/10/2026
"2,447","1,027",The General7985,TMArg,"'-5",49.41%,170,5/10/2026
"2,448","1,026",Crozilla,Lgde,"'-1",50.00%,108,5/1/2026
"2,449","1,026",MerolX7,ARMOR,1,50.10%,"1,501",5/9/2026
"2,450","1,026",SÖÖ,"'-","'-6",50.00%,64,5/7/2026
"2,451","1,026",Rædwulf,"'-",2,52.94%,17,4/13/2026
"2,452","1,026",Antonio99xx,"'-",4,51.57%,510,4/21/2026
"2,453","1,026",3505999624,"'-","'-1",48.31%,118,5/10/2026
"2,454","1,026",Memin,"'-","'-3",46.79%,156,5/8/2026
"2,455","1,026",Demolidani,"'-",1,54.17%,48,4/13/2026
"2,456","1,025",GuyFawkes,"'-","'-1",50.00%,18,4/16/2026
"2,457","1,025",Parchiojos,"'-",2,51.25%,160,5/6/2026
"2,458","1,025",Waickeur,"'-",1,51.59%,126,5/10/2026
"2,459","1,025",NexusHDE7260,"'-",1,50.00%,20,5/5/2026
"2,460","1,025",H3imd4ll,"'-",2,56.58%,152,5/8/2026
"2,461","1,024",checo.castro22,"'-","'-3",51.85%,108,4/17/2026
"2,462","1,024",Nahel991,"'-","'-1",50.23%,442,5/10/2026
"2,463","1,023",borsp14,FGYT,"'-1",49.45%,271,4/15/2026
